Food Type,Wastage in Tonnes
"Bread, pastry and Biscuits","64,500"
Home cooked meals,"51,000"
Dairy & Eggs,"35,000"
Fresh Vegetables,"31,500"
Fresh Fruit,"22,500"
Raw meat & fish,"13,500"
